Series,Volume,StartPage,EndPage,Pages,Title,Month,Year,Arc,Rank
Thorgal,01,3,48,46,La magicienne trahie,02,1980,La reine des mers gelées,13
Thorgal,02,3,48,46,L'île des mers gelées,10,1980,La reine des mers gelées,14
Thorgal,03,3,48,46,Les trois vieillards du pays d'Aran,10,1981,Le village maudit,15
Thorgal,04,3,48,46,La galère noire,05,1982,Les maîtres de Brek Zarith,16
Thorgal,05,3,48,46,Au-delà des ombres,08,1983,Les maîtres de Brek Zarith,17
Thorgal,06,3,48,46,La chute de Brek Zarith,06,1984,Les maîtres de Brek Zarith,18
Thorgal,07,3,48,46,L'enfant des étoiles,09,1984,Les origines,1
Thorgal,08,3,48,46,Alinoë,02,1985,L'enfant-rêve,19
Thorgal,09,3,48,46,Les archers,09,1985,Le grand pays,20
Thorgal,10,3,48,46,Le pays Qâ,04,1986,Le grand pays,21
Thorgal,11,3,48,46,Les yeux de Tanatloc,10,1986,Le grand pays,22
Thorgal,12,3,48,46,La cité du dieu perdu,10,1987,Le grand pays,23
Thorgal,13,3,48,46,Entre terre et lumière,11,1988,Le grand pays,24
Thorgal,14,3,48,46,Aaricia,05,1989,Les origines,2
Thorgal,15,3,48,46,Le maître des montagnes,10,1989,Vers le nord,25
Thorgal,16,3,48,46,Louve,11,1990,Vers le nord,26
Thorgal,17,3,48,46,La gardienne des clés,06,1991,Vers le nord,27
Thorgal,18,3,48,46,L'épée soleil,04,1992,Shaïgan-sans-merci,32
Thorgal,19,3,48,46,La forteresse invisible,11,1993,Shaïgan-sans-merci,33
Thorgal,20,3,48,46,La marque des bannis,01,1995,Shaïgan-sans-merci,28
Thorgal,21,3,48,46,La couronne d'Ogotaï,11,1995,Shaïgan-sans-merci,29
Thorgal,22,3,48,46,Géants,11,1996,Shaïgan-sans-merci,30
Thorgal,23,3,48,46,La cage,11,1997,Shaïgan-sans-merci,31
Thorgal,24,3,48,46,Arachnéa,04,1999,Le viking errant,34
Thorgal,25,3,48,46,Le mal bleu,11,1999,Le viking errant,35
Thorgal,26,3,48,46,Le royaume sous le sable,11,2001,Le viking errant,36
Thorgal,27,3,48,46,Le barbare,11,2002,Le dernier voyage,37
Thorgal,28,3,48,46,Kriss de Valnor,10,2004,Le dernier voyage,38
Thorgal,29,3,48,46,Le sacrifice,11,2006,Le dernier voyage,41
Thorgal,30,3,48,46,Moi Jolan,10,2007,Le successeur,42
Thorgal,31,3,48,46,Le bouclier de Thor,11,2008,Le successeur,43
Thorgal,32,3,48,46,La bataille d'Asgard,11,2010,Le successeur,44
Kriss de Valnor,K1,3,56,54,Je n'oublie rien,11,2010,Le tribunal des Walkyries,39
Thorgal,33,3,48,46,Le bateau-sabre,11,2011,Les mages rouges,48
Louve,L1,3,48,46,Raïssa,11,2011,Le mage déchu,45
Kriss de Valnor,K2,3,48,46,La sentence des Walkyries,03,2012,Le tribunal des Walkyries,40
Kriss de Valnor,K3,3,48,46,Digne d'une reine,11,2012,Nord-levant,49
Louve,L2,3,48,46,La main coupée du dieu Tyr,11,2012,Le mage déchu,46
La jeunesse de Thorgal,J1,3,48,46,Les trois sœurs Minkelsönn,02,2013,Le chant du skalde,3
Louve,L3,3,48,46,Le royaume du chaos,04,2013,Le mage déchu,47
Kriss de Valnor,K4,3,48,46,Alliances,10,2013,Nord-levant,50
Thorgal,34,3,48,46,Kah-Aniel,11,2013,Les mages rouges,52
La jeunesse de Thorgal,J2,3,48,46,L'œil d'Odin,02,2014,Le chant du skalde,4
Louve,L4,3,48,46,Crow,04,2014,La louve noire,53
Kriss de Valnor,K5,3,48,46,Rouge comme le Raheborg,11,2014,Nord-levant,51
Louve,L5,3,48,46,Skald,01,2015,La louve noire,54
La jeunesse de Thorgal,J3,3,48,46,Runa,04,2015,Les guerriers-fauves,5
Kriss de Valnor,K6,2,57,56,L'île des enfants perdus,11,2015,Aniel,55
La jeunesse de Thorgal,J4,3,48,46,Berserkers,04,2016,Les guerriers-fauves,6
Louve,L6,3,48,46,La reine des Alfes noirs,09,2016,Les royaumes du dessous,57
Thorgal,35,5,55,51,Le feu écarlate,11,2016,Les mages rouges,56
Louve,L7,3,48,46,Nidhogg,04,2017,Les royaumes du dessous,58
La jeunesse de Thorgal,J5,3,48,46,Slive,10,2017,La magicienne trahie,7
Kriss de Valnor,K7,3,50,48,La montagne du temps,11,2017,Aniel,59
La jeunesse de Thorgal,J6,3,48,46,Le drakkar des glaces,04,2018,La magicienne trahie,8
Kriss de Valnor,K8,3,48,46,Le maître de justice,10,2018,Aniel,60
Thorgal,36,3,48,46,Aniel,11,2018,Les mages rouges,61
La jeunesse de Thorgal,J7,3,48,46,La dent bleue,04,2019,Le royaume des Danes,9
Thorgal,37,3,48,46,L'ermite de Skellingar,11,2019,Nouveaux horizons,62
La jeunesse de Thorgal,J8,3,48,46,Les deux bâtards,05,2020,Le royaume des Danes,10
Thorgal,38,3,48,46,La selkie,11,2020,Nouveaux horizons,63
La jeunesse de Thorgal,J9,3,48,46,Les larmes de Hel,04,2021,Le royaume des Danes,11
Thorgal,39,3,50,48,Neokóra,11,2021,Nouveaux horizons,64
La jeunesse de Thorgal,J10,3,56,54,Sydönia,06,2022,Le royaume des Danes,12
Thorgal,40,3,48,46,Tupilaks,11,2022,Nouveaux horizons,65
