Name,ShortName,Sex,Named
2 Kingsguards_15.13,,Male,FALSE
2 Night's watch men_7.9,,Male,FALSE
2 Others_17.21,,Unknown,FALSE
2 Septas_9.20,,Female,FALSE
3 giants_17.20,,Mixed,FALSE
3 others_1.7,,Male,FALSE
3 soldiers_8.10,,Male,FALSE
3 Tarly soldiers_8.20,,Male,FALSE
4 crones,,Female,FALSE
4 Night's watch men_45.21,,Male,FALSE
5 Stark men_13.3,,Male,FALSE
Aegon Targaryen,,Male,TRUE
Aenys Frey,,Male,TRUE
Aeron Greyjoy,,Male,TRUE
Aerys Targaryen,,Male,TRUE
Aggar,,Male,TRUE
Aggo,,Male,TRUE
Alayaya,,Female,TRUE
Albett Pimple,Albett,Male,TRUE
Alebelly,,Male,TRUE
Alester Florent,,Male,TRUE
Allard Seaworth,,Male,TRUE
Alliser Thorne,,Male,TRUE
Alyn,,Male,TRUE
Amabel,,Female,TRUE
Amory Lorch,,Male,TRUE
Andar Royce,,Male,TRUE
Aron Santagar,,Male,TRUE
Arryn men_12.15,,Male,FALSE
Arryn men_12.21,,Male,FALSE
Arthur Dayne,,Male,TRUE
Arya Stark,Arya,Female,TRUE
Arys Oakheart,,Male,TRUE
Asha Greyjoy,,Female,TRUE
Asha's men_51.6,,Male,FALSE
Audience_26.17,,Mixed,FALSE
Audience_37.18,,Mixed,FALSE
Bael the Bard,,Male,TRUE
Balerion,,Male,TRUE
Balon Greyjoy,,Male,TRUE
Balon Swann,,Male,TRUE
Baratheon men_25.23,,Mixed,FALSE
Baratheon men_9.20,,Male,FALSE
Barra,,Female,TRUE
Barristan Selmy,Barristan,Male,TRUE
Bedmaids_22.9,,Female,FALSE
Bedwyck Giant,Bedwyck,Male,TRUE
Benfred Tallhart,,Male,TRUE
Benjen Stark,Benjen,Male,TRUE
Beric Dondarrion,,Male,TRUE
Beth Cassel,,Female,TRUE
Big Walder Frey,,Male,TRUE
Biter,,Male,TRUE
Black Lorren,,Male,TRUE
Blacksmiths_32.7,,Male,FALSE
Blacksmiths_8.30,,Male,FALSE
Bloodmage_22.24,,Male,FALSE
Bolton men_47.23,,Male,FALSE
Bolton men_55.22,,Male,FALSE
